"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x2269172910","x1276886766381907976",2020-06-27 14:35:03,"BesThingsToDo","#vacation - Wonderful places to go in Bukittinggi, Indonesia : https://t.co/k4ttN5Q9It","Guillaume Rondan API",86,,,,FALSE,FALSE,0,0,,,"vacation",,"besthingstodo.com/in/indonesia/b…","https://t.co/k4ttN5Q9It","http://besthingstodo.com/in/indonesia/bukittinggi",,,,,,,,,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BesThingsToDo/status/1276886766381907976","Best Things To Do","","The best friend for #tourists : do not miss amazing spots & places for your trip","http://t.co/xmomXtWcvb",FALSE,466,4,104,54723,20,2013-12-30 17:28:24,FALSE,"http://t.co/xmomXtWcvb","http://besthingstodo.com",,"https://pbs.twimg.com/profile_banners/2269172910/1388424577","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/417709525244715008/wESBdI-d_normal.png"
"x1196558538","x1276886762380357632",2020-06-27 14:35:02,"ferdiansmaulana","mungkin kalian2 saat ini bakal ngeliat mereka di kampung2, mereka ngikut perayaan2 budaya orang indonesia, mereka ngikut main sm anak2 lain tanpa memandang ras atau mungkin kalian2 bisa pacaran sm orang2 belanda dan keturunannya ini hehe","Twitter for Android",237,"x1276883999126720513","x1196558538","ferdiansmaulana",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ferdiansmaulana/status/1276886762380357632","Ferdiansyah Maulana","Ujung Galuh","suka ngeliat peta dan sejarah perang dunia ke-2",,FALSE,220,200,3,5453,560,2013-02-19 10:02:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/1196558538/1558734367","http://abs.twimg.com/images/themes/theme18/bg.gif","http://pbs.twimg.com/profile_images/1198722567218946048/Rqe2rYnz_normal.jpg"
"x68636895","x1276886744839802883",2020-06-27 14:34:58,"pinaapinot","Sebagai anak bekal indonesia<U+0001F601> yg tiap hari bawa bekal ke kantor dan nti jg udah cita2 mo bawain bekal buat suamik..akutu sungguh heran ada org yg segitu bencinya ada org lain yg bawain bekal buat suaminya sendiri, lah daripada bawain bekal buat suami orang lain cobaa??","Twitter for Android",269,"x1276886213056540673","x68636895","pinaapinot",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/pinaapinot/status/1276886744839802883","Pinaapinot","Location Unknown<U+0001F601>","a Food and Social Media Enthusiast",,FALSE,158,94,2,24486,654,2009-08-25 07:35:28,FALSE,,,,"https://pbs.twimg.com/profile_banners/68636895/1567324246","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1248787161765167104/Gajw_ik8_normal.jpg"
"x1222271803466248197","x1276886712031916033",2020-06-27 14:34:50,"amndapss","@GFSquad__com @GFRDofficial INDONESIA
#GFRIEND_ButterflyEffect  
#<U+C5EC><U+C790><U+CE5C><U+AD6C> #GFRIEND
#<U+56DE>_Song_of_the_Sirens
@GFRDofficial","Twitter for Android",87,"x1276884712284291075","x724554282331156480","GFSquad__com",FALSE,FALSE,0,0,,,"GFRIEND_ButterflyEffect <U+C5EC><U+C790><U+CE5C><U+AD6C> GFRIEND <U+56DE>_Song_of_the_Sirens",,,,,,,,,,,,,"x724554282331156480 x2258740268 x2258740268","GFSquad__com GFRDofficial GFRDofficial","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/amndapss/status/1276886712031916033","<U+56DE>: <U+0001F15C><U+0001F150><U+0001F15D><U+0001F153><U+0001F150><U+0001F984>","","<U+56DE>:LABYRINTH
bias? apa itu gw ot6 <U+0001F64C> <U+0001F46D><U+0001F46D><U+0001F46D>",,FALSE,76,98,0,393,64,2020-01-28 21:34:50,FALSE,,,,"https://pbs.twimg.com/profile_banners/1222271803466248197/1591449155",,"http://pbs.twimg.com/profile_images/1275057397032120323/LRn9hUH__normal.jpg"
"x1241826856879263745","x1276886704876482563",2020-06-27 14:34:48,"Larasa_Diana","Tapi kalian kudu tau bgt nih kalo Freeport Indonesia ini udah nglakuin banyak yang hal buat mengurangi dampak tersebut dan memastikan dampak tersebut tidak berlangsung dalam jangka waktu lama.
#Freeport","Twitter for Android",202,"x1276886703676911616","x1241826856879263745","Larasa_Diana",FALSE,FALSE,0,0,,,"Freeport",,,,,,,,,,,,,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Larasa_Diana/status/1276886704876482563","Diana Larasati","Bandung","FISIP UNPAD '19",,FALSE,17,61,0,230,17,2020-03-22 20:39:38,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1276447292845731841/vYxyB7jN_normal.jpg"
"x1241826856879263745","x1276886706201915394",2020-06-27 14:34:48,"Larasa_Diana","Untuk itu Freeport Indonesia berkomitmen untuk melakukan identifikasi, memahami, membuat strategi dan berupaya mengurangi dampak lingkungan dari setiap kegiatan yang kami lakukan.
#Freeport","Twitter for Android",189,"x1276886704876482563","x1241826856879263745","Larasa_Diana",FALSE,FALSE,0,0,,,"Freeport",,,,,,,,,,,,,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Larasa_Diana/status/1276886706201915394","Diana Larasati","Bandung","FISIP UNPAD '19",,FALSE,17,61,0,230,17,2020-03-22 20:39:38,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1276447292845731841/vYxyB7jN_normal.jpg"
"x1407764377","x1276886697339322370",2020-06-27 14:34:46,"FahmiBalung","@sbyfess Indonesia tanah airku, tanah tumpah . . .","Twitter for iPhone",41,"x1276879292496883712","x1152437175587241985","sbyfess",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1152437175587241985","sbyfess","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FahmiBalung/status/1276886697339322370","MANTAB ANJING","Kota Surabaya, Jawa Timur","","https://t.co/BfWV0CVVFX",FALSE,280,308,0,7880,204,2013-05-06 13:29:05,FALSE,"https://t.co/BfWV0CVVFX","http://Instagram.com/fahmiasyari146/",,"https://pbs.twimg.com/profile_banners/1407764377/1579532802","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1232573722210394112/Zwa0iosC_normal.jpg"
"x1161963124494196738","x1276886696852811777",2020-06-27 14:34:46,"awaluddinsodri","""Mbiyen aku ngontel koncoku motoran, saiki aku motoran koncoku ngontel, nek ra gelem kekancan karo aku ngomong wae""
Taii, statuse koyo ngno, tapi neng tongkrongan bahasane pengen indonesia transportasine koyo luar, nekra ngontel mlaku.
Jalukmu ki opo ?","Twitter for Android",252,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/awaluddinsodri/status/1276886696852811777","hAhAhA !!!","Surakarta, Jawa Tengah","",,FALSE,45,116,0,365,284,2019-08-15 11:29:31,FALSE,,,,"https://pbs.twimg.com/profile_banners/1161963124494196738/1565956265",,"http://pbs.twimg.com/profile_images/1189714183425810432/ZDC4uKPA_normal.jpg"
"x990771554198765568","x1276886650417672194",2020-06-27 14:34:35,"maryam_anggi","@GFSquad__com @GFRDofficial INDONESIA EEEEAAAA <U+0001F1EE><U+0001F1E9>
#GFRIEND_ButterflyEffect
#<U+56DE>_Song_of_the_Sirens
@GFRDofficial 
#GFRIEND #<U+C5EC><U+C790><U+CE5C><U+AD6C>","Twitter Web App",98,"x1276884712284291075","x724554282331156480","GFSquad__com",FALSE,FALSE,0,0,,,"GFRIEND_ButterflyEffect <U+56DE>_Song_of_the_Sirens GFRIEND <U+C5EC><U+C790><U+CE5C><U+AD6C>",,,,,,,,,,,,,"x724554282331156480 x2258740268 x2258740268","GFSquad__com GFRDofficial GFRDofficial","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/maryam_anggi/status/1276886650417672194","Mar","","",,FALSE,11,94,0,5048,6596,2018-04-30 01:55:20,FALSE,,,,"https://pbs.twimg.com/profile_banners/990771554198765568/1536631622",,"http://pbs.twimg.com/profile_images/1273085315427663873/KLp7gEeu_normal.jpg"
"x1276110200282349568","x1276886596214829060",2020-06-27 14:34:22,"MakethBung","Bung!, panggilan itulah yang kita gunakan. 

Merupakan panggilan akrab khas indonesia bagi pria  yang dulu kita kenal di zaman pergerakan kemerdekaan indonesia.

#gentleman's #Bung #MakethBung #menswear #mensfashion #mensgrooming #mensstyle https://t.co/gHCB0EiA8a","Buffer",240,,,,FALSE,FALSE,0,0,,,"gentleman Bung MakethBung menswear mensfashion mensgrooming mensstyle",,,,,"http://pbs.twimg.com/media/Ebhpl5fXQAA1I8J.jpg","https://t.co/gHCB0EiA8a","https://twitter.com/MakethBung/status/1276886596214829060/photo/1","photo","http://pbs.twimg.com/media/Ebhpl5fXQAA1I8J.jpg","https://t.co/gHCB0EiA8a","https://twitter.com/MakethBung/status/1276886596214829060/photo/1",,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MakethBung/status/1276886596214829060","MakethBung","","Beyond Men's Preferences
#MakethBung
#LifeStyle
#Fashion
#Ethics
#SelfDevelopment",,FALSE,0,0,0,3,0,2020-06-25 11:09:33,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1276555509965807616/eNhWi_rA_normal.jpg"
